"Hate	files/NotreDame_De_Paris.txt : 1; 
"Have	files/NotreDame_De_Paris.txt : 5; files/Miserables.txt : 37; 
"He	files/Miserables.txt : 118; files/NotreDame_De_Paris.txt : 35; 
"Heavens	files/Miserables.txt : 2; 
"Heavy	files/Miserables.txt : 1; 
"Heed	files/Miserables.txt : 1; 
"Hello	files/Miserables.txt : 4; 
"Help	files/Miserables.txt : 4; files/NotreDame_De_Paris.txt : 4; 
"Hence	files/NotreDame_De_Paris.txt : 1; 
"Her	files/Miserables.txt : 4; 
"Hercules	files/Miserables.txt : 1; 
"Here	files/Miserables.txt : 46; files/NotreDame_De_Paris.txt : 18; 
"Heroism	files/Miserables.txt : 1; 
"Heugh	files/NotreDame_De_Paris.txt : 1; 
"Heuh	files/NotreDame_De_Paris.txt : 1; 
"Hey	files/NotreDame_De_Paris.txt : 1; files/Miserables.txt : 12; 
"Hi	files/Miserables.txt : 1; 
"Hic	files/Miserables.txt : 1; 
"Him	files/Miserables.txt : 1; 
"His	files/Miserables.txt : 9; files/NotreDame_De_Paris.txt : 3; 
"Hitched	files/Miserables.txt : 1; 
"Ho	files/NotreDame_De_Paris.txt : 9; 
"Hola	files/NotreDame_De_Paris.txt : 1; 
"Hold	files/NotreDame_De_Paris.txt : 10; files/Miserables.txt : 14; 
"Holy	files/NotreDame_De_Paris.txt : 4; 
"Holà	files/NotreDame_De_Paris.txt : 5; 
"Honor	files/Miserables.txt : 1; 
"Horns	files/NotreDame_De_Paris.txt : 2; 
"Horrible	files/NotreDame_De_Paris.txt : 1; 
"Horror	files/NotreDame_De_Paris.txt : 1; 
"Hosier	files/NotreDame_De_Paris.txt : 1; 
"Hou	files/Miserables.txt : 1; 
"Hougomont	files/Miserables.txt : 1; 
"How	files/Miserables.txt : 79; files/NotreDame_De_Paris.txt : 23; 
"However	files/NotreDame_De_Paris.txt : 1; 
"Hu	files/Miserables.txt : 1; 
"Hullo	files/Miserables.txt : 7; 
"Hum	files/NotreDame_De_Paris.txt : 7; 
"Humanity	files/NotreDame_De_Paris.txt : 1; 
"Hunters	files/Miserables.txt : 1; 
"Hurrah	files/NotreDame_De_Paris.txt : 1; 
"Hush	files/NotreDame_De_Paris.txt : 1; files/Miserables.txt : 5; 
"Hé	files/NotreDame_De_Paris.txt : 7; 
"I	files/NotreDame_De_Paris.txt : 251; files/Miserables.txt : 620; 
"Idiot	files/Miserables.txt : 1; 
"If	files/Miserables.txt : 36; files/NotreDame_De_Paris.txt : 17; 
"Ill	files/NotreDame_De_Paris.txt : 1; 
"Immediately	files/NotreDame_De_Paris.txt : 1; files/Miserables.txt : 6; 
"Impious	files/NotreDame_De_Paris.txt : 1; 
"Impossible	files/NotreDame_De_Paris.txt : 1; files/Miserables.txt : 8; 
"Impure	files/NotreDame_De_Paris.txt : 1; 
"In	files/NotreDame_De_Paris.txt : 22; files/Miserables.txt : 65; 
"Indeed	files/NotreDame_De_Paris.txt : 1; 
"Inexorable	files/Miserables.txt : 1; 
"Infamous	files/Miserables.txt : 1; 
"Infantry	files/Miserables.txt : 1; 
"Information	files/Miserables.txt : 1; files/NotreDame_De_Paris.txt : 1; 
"Informed	files/Miserables.txt : 1; 
"Ingrate	files/Miserables.txt : 1; 
"Ingrates	files/Miserables.txt : 1; 
"Inspector	files/Miserables.txt : 7; 
"Instanter	files/Miserables.txt : 1; 
"Instantly	files/NotreDame_De_Paris.txt : 1; 
"Insurrection	files/Miserables.txt : 1; 
"Into	files/Miserables.txt : 2; 
"Iron	files/Miserables.txt : 2; 
"Is	files/Miserables.txt : 58; files/NotreDame_De_Paris.txt : 15; 
"It	files/NotreDame_De_Paris.txt : 29; files/Miserables.txt : 189; 
"J	files/Miserables.txt : 3; files/NotreDame_De_Paris.txt : 1; 
"JAVERT	files/Miserables.txt : 2; 
"Jacques	files/NotreDame_De_Paris.txt : 2; 
"Jadis	files/Miserables.txt : 1; 
"Javert	files/Miserables.txt : 6; 
"Je	files/Miserables.txt : 2; 
"Jean	files/Miserables.txt : 8; 
"Jeanne	files/Miserables.txt : 3; 
"Jehan	files/NotreDame_De_Paris.txt : 8; 
"Jehau	files/NotreDame_De_Paris.txt : 1; 
"Jesus	files/NotreDame_De_Paris.txt : 1; files/Miserables.txt : 3; 
"Jeu	files/Miserables.txt : 1; 
"Joie	files/Miserables.txt : 1; 
"Joker	files/Miserables.txt : 1; 
"Joly	files/Miserables.txt : 1; 
"Jondrette	files/Miserables.txt : 1; 
"Joy	files/Miserables.txt : 1; 
"Judging	files/NotreDame_De_Paris.txt : 1; 
"June	files/Miserables.txt : 3; 
"Jupiter	files/NotreDame_De_Paris.txt : 2; 
"Just	files/NotreDame_De_Paris.txt : 2; files/Miserables.txt : 9; 
"Keep	files/Miserables.txt : 2; 
"Kekcaa	files/Miserables.txt : 1; 
"Keksekca	files/Miserables.txt : 2; 
"Kirikikiou	files/Miserables.txt : 1; 
"Kisss	files/Miserables.txt : 1; 
"Knave	files/NotreDame_De_Paris.txt : 1; 
"Knock	files/Miserables.txt : 1; 
"Knot	files/Miserables.txt : 1; 
"Know	files/Miserables.txt : 1; 
"L	files/Miserables.txt : 4; 
"La	files/NotreDame_De_Paris.txt : 9; 
"Ladies	files/Miserables.txt : 1; 
"Lamarque	files/Miserables.txt : 1; 
"Langleviel	files/Miserables.txt : 1; 
"Lark"	files/Miserables.txt : 1; 
